frame,fps,mean,std,meandiff,stddiff,spacial0,spacial1,spacial2,spacial3,spacial4,spacial5,spacial6,spacial7,spacial8,spacial9,central0,central1,central2,central3,central4,central5,central6,hu0,hu1,hu2,hu3,hu4,hu5,red0,red1,red2,red3,red4,red5,red6,red7,green0,green1,green2,green3,green4,green5,green6,green7,blue0,blue1,blue2,blue3,blue4,blue5,blue6,blue7,nsift,nsurf
76,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
77,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
78,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
79,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
80,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
81,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
82,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
83,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
84,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
85,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
86,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,345600,0,0,0,0,0,0,0,,
